run_id,name,start_date,end_date,num_periods,gross_return,gross_cagr,net_return,net_cagr,benchmark_return,benchmark_cagr,alpha_return,alpha_cagr,net_alpha_return,net_alpha_cagr,fees_applied,fees_annual_bps,output_dir,output_files
mf-10y-annual-top15-net1%,mf-10y-annual-top15-net1%,2014-01-01,2024-01-01,10,4.806077163749717,0.19219266822952363,4.250622951494439,0.18027074154722844,2.8722589741113236,0.14489125971806205,1.9338181896383935,0.047301408511461585,1.3783639773831151,0.03537948182916639,True,100.0,batch_outputs/frontend_examples/mf-10y-annual-top15-net1%,"batch_outputs/frontend_examples/mf-10y-annual-top15-net1%/mf-10y-annual-top15-net1%.summary.csv, batch_outputs/frontend_examples/mf-10y-annual-top15-net1%/mf-10y-annual-top15-net1%.periods.csv"
mf-10y-annual-top30-net1%,mf-10y-annual-top30-net1%,2014-01-01,2024-01-01,10,4.520313815138099,0.18619405585698656,3.9921979332593978,0.17433211529841675,2.8722589741113236,0.14489125971806205,1.6480548410267755,0.041302796138924514,1.1199389591480742,0.029440855580354697,True,100.0,batch_outputs/frontend_examples/mf-10y-annual-top30-net1%,"batch_outputs/frontend_examples/mf-10y-annual-top30-net1%/mf-10y-annual-top30-net1%.summary.csv, batch_outputs/frontend_examples/mf-10y-annual-top30-net1%/mf-10y-annual-top30-net1%.periods.csv"
mf-10y-semiannual-top15-net1%,mf-10y-semiannual-top15-net1%,2014-01-01,2024-01-01,20,4.925563007041238,0.19462237267401483,4.358677855601152,0.1826761489472748,2.83288621918449,0.14372242445637307,2.0926767878567483,0.050899948217641766,1.525791636416662,0.03895372449090173,True,100.0,batch_outputs/frontend_examples/mf-10y-semiannual-top15-net1%,"batch_outputs/frontend_examples/mf-10y-semiannual-top15-net1%/mf-10y-semiannual-top15-net1%.summary.csv, batch_outputs/frontend_examples/mf-10y-semiannual-top15-net1%/mf-10y-semiannual-top15-net1%.periods.csv"
