run_id,period_no,rebalance_date,start_date,end_date,period_days,num_funds,gross_return,gross_cagr,net_return,net_cagr,fee_return,benchmark_return,benchmark_cagr,alpha_return,alpha_cagr,net_alpha_return,net_alpha_cagr
mf-10y-annual-top15,1,2014-01-01,2014-01-01,2015-01-01,365,15,0.5103972856532792,0.5103972856532792,0.4952933127967465,0.4952933127967465,-0.010000000000000009,0.37893827787655576,0.37893827787655576,0.13145900777672348,0.13145900777672348,0.11635503492019073,0.11635503492019073
mf-10y-annual-top15,2,2015-01-01,2015-01-01,2016-01-01,365,15,0.04646000022840898,0.046460000228409015,0.03599540022612491,0.03599540022612491,-0.010000000000000009,-0.004781833453677442,-0.004781833453677442,0.05124183368208642,0.05124183368208646,0.04077723367980235,0.04077723367980235
mf-10y-annual-top15,3,2016-01-01,2016-01-01,2017-01-01,366,15,0.03841141856300793,0.038304484537018846,0.027998997863871278,0.02792143969164851,-0.010027259439756353,0.033929800922464226,0.03383554561601221,0.004481617640543702,0.004468938921006638,-0.005930803058592948,-0.0059141059243636995
mf-10y-annual-top15,4,2017-01-01,2017-01-01,2018-01-01,365,15,0.37695718846971205,0.37695718846971205,0.36318761658501497,0.36318761658501497,-0.010000000000000009,0.3473045340949661,0.3473045340949661,0.029652654374745957,0.029652654374745957,0.015883082490048883,0.015883082490048883
mf-10y-annual-top15,5,2018-01-01,2018-01-01,2019-01-01,365,15,-0.08656524736894675,-0.08656524736894677,-0.09569959489525737,-0.09569959489525737,-0.010000000000000009,-0.025078170544278966,-0.025078170544278966,-0.06148707682466778,-0.06148707682466781,-0.0706214243509784,-0.0706214243509784
mf-10y-annual-top15,6,2019-01-01,2019-01-01,2020-01-01,365,15,0.08825364995872019,0.08825364995872009,0.07737111345913283,0.07737111345913283,-0.010000000000000009,0.07508779177855818,0.07508779177855818,0.013165858180162013,0.013165858180161916,0.002283321680574657,0.002283321680574657
mf-10y-annual-top15,7,2020-01-01,2020-01-01,2021-01-01,366,15,0.2023993572657268,0.2017939767170136,0.1903425869602271,0.18977603694984357,-0.010027259439756353,0.17053056312603987,0.17002709665095628,0.031868794139686935,0.031766880066057324,0.01981202383418723,0.019748940298887296
mf-10y-annual-top15,8,2021-01-01,2021-01-01,2022-01-01,365,15,0.4759052585773498,0.4759052585773498,0.4611462059915763,0.4611462059915763,-0.010000000000000009,0.2955848239933996,0.2955848239933996,0.1803204345839502,0.1803204345839502,0.16556138199817672,0.16556138199817672
mf-10y-annual-top15,9,2022-01-01,2022-01-01,2023-01-01,365,15,0.050889404783947365,0.050889404783947434,0.04038051073610793,0.04038051073610793,-0.010000000000000009,0.01606421740788977,0.01606421740788977,0.034825187376057595,0.034825187376057665,0.024316293328218164,0.024316293328218164
mf-10y-annual-top15,10,2023-01-01,2023-01-01,2024-01-01,365,15,0.38582116365348446,0.3858211636534845,0.3719629520169496,0.3719629520169496,-0.010000000000000009,0.25418313347698507,0.25418313347698507,0.1316380301764994,0.13163803017649944,0.11777981853996455,0.11777981853996455
